Date,SPY,GOOG,TSLA,FB,AAPL,MSFT,BTC-USD,ETH-USD,ADA-USD,XRP-USD,DOGE-USD,LTC-USD,XLM-USD,LINK-USD,total_cases,new_cases,total_deaths,new_deaths,new_tests,total_tests,positive_rate,total_vaccinations,people_vaccinated,total_cases_rate,new_cases_rate,total_deaths_rate
2021-08-10,441.2663269042969,2761.929931640625,709.989990234375,361.1300048828125,145.3878173828125,285.8927001953125,45585.03125,3141.691162109375,1.6725660562515259,0.8512470126152039,0.2573249936103821,165.46041870117188,0.3100169897079468,24.566286087036133,36171250.0,121204.0,618033.0,865.0,1428012.0,503914531.0,0.101,359722112.0,198239237.0,0.10865008173225583,0.0003640688255527895,0.0018564284055218238
2021-08-11,442.3628234863281,2753.7900390625,707.8200073242188,359.9599914550781,145.64743041992188,286.4017333984375,45593.63671875,3164.2451171875,1.7980380058288574,1.0125240087509155,0.26526299118995667,170.93594360351562,0.3378579914569855,25.9465389251709,36327505.0,156255.0,618812.0,779.0,1525251.0,505439782.0,0.106,360481039.0,198733710.0,0.10911943566724767,0.0004693539349918412,0.001858768341622164
2021-08-12,443.6885681152344,2767.7900390625,722.25,362.6499938964844,148.6730194091797,289.2562561035156,44428.2890625,3043.414306640625,1.8238780498504639,0.9645490050315857,0.26392099261283875,165.1310272216797,0.3273389935493469,24.917234420776367,36469699.0,142194.0,619824.0,1012.0,1522612.0,506962394.0,0.108,361274320.0,199243480.0,0.10954655360543993,0.000427117938192249,0.0018618081559142617
2021-08-13,444.4960021972656,2768.1201171875,717.1699829101562,363.17999267578125,148.88272094726562,292.2904357910156,47793.3203125,3322.211669921875,2.1360790729522705,1.089959979057312,0.2868080139160156,183.2860870361328,0.36008501052856445,27.733137130737305,36699543.0,229844.0,620880.0,1056.0,1521046.0,508483440.0,0.103,362210249.0,199819452.0,0.11023695190203373,0.0006903982965938034,0.0018649801360451465
2021-08-14,,,,,,,47096.9453125,3265.443359375,2.1916871070861816,1.280411958694458,0.29311299324035645,182.71127319335938,0.39504900574684143,27.15542221069336,36748975.0,49432.0,621134.0,254.0,1125944.0,509609384.0,0.101,362827321.0,200179955.0,0.11038543421437264,0.000148482312338912,0.0018657430933872341
2021-08-15,,,,,,,47047.00390625,3310.504150390625,2.1691529750823975,1.288159966468811,0.34144100546836853,184.904296875,0.3916090130805969,27.90401268005371,36791040.0,42065.0,621310.0,176.0,792206.0,510401590.0,0.102,363220674.0,200390600.0,0.11051178776002195,0.00012635354564930273,0.0018662717567423817
2021-08-16,445.5426330566406,2778.320068359375,686.1699829101562,366.55999755859375,150.89976501464844,294.037109375,46004.484375,3156.509521484375,2.0794169902801514,1.1909929513931274,0.3207150101661682,178.8544921875,0.373214989900589,28.084339141845703,37010468.0,219428.0,622363.0,1053.0,1274365.0,511675955.0,0.105,364079717.0,200853696.0,0.11117089879805202,0.0006591110380300773,0.0018694347255660763
2021-08-17,442.62200927734375,2746.010009765625,665.7100219726562,358.45001220703125,149.97113037109375,292.5199890136719,44695.359375,3014.845947265625,1.9266010522842407,1.0981990098953247,0.29944199323654175,168.84263610839844,0.34165000915527344,26.15813636779785,37163268.0,152800.0,623390.0,1027.0,1601760.0,513277715.0,0.106,364989961.0,201342486.0,0.11162987471093003,0.0004589759128780092,0.0018725195963941242
2021-08-18,437.7774963378906,2731.39990234375,688.989990234375,355.45001220703125,146.14669799804688,290.7300109863281,44801.1875,3020.08984375,2.108560085296631,1.14609694480896,0.3037390112876892,167.3966064453125,0.3428579866886139,25.512895584106445,37321867.0,158599.0,624565.0,1175.0,1695738.0,514973453.0,0.104,365927931.0,201828157.0,0.11210626948060634,0.0004763947696763049,0.001876049025043546
2021-08-19,438.455322265625,2738.27001953125,673.469970703125,355.1199951171875,146.4862060546875,296.7699890136719,46717.578125,3182.7021484375,2.4281399250030518,1.232841968536377,0.3171440064907074,175.493408203125,0.3670960068702698,27.064760208129883,37479083.0,157216.0,626346.0,1781.0,1645909.0,516619362.0,0.105,366857951.0,202306491.0,0.11257851003766804,0.0004722405570617088,0.0018813987377453505
2021-08-20,441.94415283203125,2768.739990234375,680.260009765625,359.3699951171875,147.9740447998047,304.3599853515625,49339.17578125,3286.935302734375,2.4577019214630127,1.2632219791412354,0.32749098539352417,183.62852478027344,0.3852899968624115,28.701841354370117,37724751.0,245668.0,627825.0,1479.0,1538538.0,518157900.0,0.106,367947112.0,202842239.0,0.1133164399759201,0.00073792993825206,0.0018858413121900272
2021-08-21,,,,,,,48905.4921875,3226.083984375,2.4354350566864014,1.2164729833602905,0.3167969882488251,179.73614501953125,0.3717789947986603,27.861591339111328,37791260.0,66509.0,628361.0,536.0,1172771.0,519330671.0,0.107,368602343.0,203162169.0,0.11351621765255364,0.00019977767663353086,0.0018874513324079762
2021-08-22,,,,,,,49321.65234375,3242.115478515625,2.7137250900268555,1.2277220487594604,0.3149630129337311,186.31309509277344,0.37310901284217834,28.022817611694336,37827627.0,36367.0,628531.0,170.0,836705.0,520167376.0,0.106,368985717.0,203345084.0,0.11362545572208003,0.0001092380695264042,0.0018879619731487437
2021-08-23,445.83172607421875,2821.989990234375,706.2999877929688,363.3500061035156,149.49183654785156,304.6499938964844,49546.1484375,3319.25732421875,2.917386054992676,1.2472699880599976,0.3179140090942383,187.10643005371094,0.3787040114402771,28.554101943969727,38065008.0,237381.0,629916.0,1385.0,1316575.0,521483951.0,0.108,369891656.0,203785339.0,0.11433849342610422,0.00071303770402418,0.0018921221933014664
2021-08-24,446.5394287109375,2847.969970703125,708.489990234375,365.510009765625,149.40194702148438,302.6199951171875,47706.1171875,3172.456298828125,2.7210910320281982,1.1373519897460938,0.28873899579048157,173.57681274414062,0.3507539927959442,25.752197265625,38222126.0,157118.0,631338.0,1422.0,1804452.0,523288403.0,0.106,370826465.0,204245470.0,0.11481043961379772,0.0004719461876935017,0.0018963935529095327
2021-08-25,447.4764404296875,2859.0,711.2000122070312,368.3900146484375,148.14378356933594,302.010009765625,48960.7890625,3224.915283203125,2.7381319999694824,1.1725289821624756,0.29222598671913147,177.6032257080078,0.3585039973258972,26.520479202270508,38391542.0,169416.0,632828.0,1490.0,1942415.0,525230818.0,0.104,371776844.0,204713017.0,0.11531932615343216,0.0005088865396344294,0.001900869168813906
2021-08-26,444.83489990234375,2842.4599609375,701.1599731445312,364.3800048828125,147.32498168945312,299.0899963378906,46942.21875,3100.325439453125,2.5355279445648193,1.0752660036087036,0.2689090073108673,168.08558654785156,0.33631399273872375,24.426326751708984,38575980.0,184438.0,635048.0,2220.0,1947236.0,527178054.0,0.104,372749926.0,205187047.0,0.11587333531193604,0.0005540091585038892,0.0019075375361345159
2021-08-27,448.8121643066406,2891.010009765625,711.9199829101562,372.6300048828125,148.38345336914062,299.7200012207031,49058.66796875,3270.600830078125,2.944196939468384,1.1884729862213135,0.29443299770355225,175.98440551757812,0.35721901059150696,26.018299102783203,38819523.0,243543.0,636769.0,1721.0,1875355.0,529053409.0,0.1,373900018.0,205718972.0,0.1166048822409285,0.0007315469289924673,0.00191270702269252
2021-08-28,,,,,,,48902.40234375,3244.4033203125,2.847490072250366,1.1455049514770508,0.285629004240036,175.45408630371094,0.34785398840904236,25.729089736938477,38880776.0,61253.0,637389.0,620.0,1427238.0,530480647.0,0.098,374600012.0,206036816.0,0.11678887210736513,0.00018398986643662762,0.0019145693595117896
2021-08-29,,,,,,,48829.83203125,3227.002685546875,2.8559861183166504,1.1408319473266602,0.281125009059906,174.7042236328125,0.3437409996986389,25.813661575317383,38923091.0,42315.0,637659.0,270.0,972956.0,531453603.0,0.097,375022607.0,206229459.0,0.11691597659528027,0.00012710448791513717,0.0019153803771588907
